run_id,run_name,model,sequence,iou,dice,temporal_consistency,failure_rate,processing_time,total_frames,precision,recall
s2sdqppd,tsp_sam_cat-girl,tsp_sam,cat-girl,0.2800089959152207,0.4362371028018523,0.6833102361348876,1.0,20,25,0.5255909325755619,0.5574143835616439
jzx7gqkr,samurai_cat-girl,samurai,cat-girl,0.7929208337539707,0.883168052622498,0.0,0.08,14,25,0.9983590052559397,0.6170006369114693
c65o5nkt,tsp_sam_classic-car,tsp_sam,classic-car,0.7844818098173059,0.8783032576121838,0.7254322776608937,0.4,20,25,0.9761854754018903,0.660649266868583
6khu5bun,samurai_classic-car,samurai,classic-car,0.9564144544583922,0.977710413499468,0.0,0.0,88,25,0.999372556590569,0.95361597978841
go1w8quo,tsp_sam_color-run,tsp_sam,color-run,0.3968455372013864,0.5677250633113482,0.6402773917761808,1.0,20,25,0.6318643192564024,0.4752172435555124
vsy06mv8,samurai_color-run,samurai,color-run,0.2996231839576478,0.4586830010630273,0.0,1.0,10,25,0.8742104635919438,0.20407638084706095
8pgfbwa6,tsp_sam_cows,tsp_sam,cows,0.9005515178279925,0.9476556075290791,0.9021562587510501,0.0,20,25,0.9327316986285104,0.9491300144997583
onpeum1f,samurai_cows,samurai,cows,0.9685795264040391,0.9840343987242748,0.0,0.0,15,25,0.9939290873516557,0.9775024277955616
ii8h1yk0,tsp_sam_crossing,tsp_sam,crossing,0.4513624789955922,0.6099573478977831,0.8013816925734024,0.56,20,25,0.7812624584717608,0.8175497149214296
3h40qwru,samurai_crossing,samurai,crossing,0.6748167447648499,0.8045309981574075,0.0,0.8,8,25,0.9856217411913415,0.5220083682008368
kszlo7cp,tsp_sam_dance-jump,tsp_sam,dance-jump,0.7367439325217588,0.8472445220090605,0.8358006773101113,0.0,20,25,0.7771305285868393,0.7750403442711135
akya6c9l,samurai_dance-jump,samurai,dance-jump,0.9171610656052498,0.9562776176011124,0.0,0.0,8,25,0.8274177882614125,0.9699414443721536
l4icpzz3,tsp_sam_dance-twirl,tsp_sam,dance-twirl,0.6448607979810111,0.7831953842258086,0.6489902118696568,0.16,20,25,0.8651433691756273,0.8596230894791512
9ncwkb9l,samurai_dance-twirl,samurai,dance-twirl,0.9223937344356027,0.9595507086063445,0.0,0.0,8,25,0.95,0.9554106021515845
ggzku5s3,tsp_sam_dancing,tsp_sam,dancing,0.1789616158826712,0.2987851189436682,0.5418408736349454,1.0,20,25,0.49491196898723955,0.4921693036703879
o8fj8gxg,samurai_dancing,samurai,dancing,0.36765066383964007,0.5182216557746194,0.0,1.0,8,25,0.9829220735561084,0.3500886057761387
oeblonzv,tsp_sam_disc-jockey,tsp_sam,disc-jockey,0.429322949995163,0.5994673339260713,0.5733248605521429,1.0,20,25,0.6688879566283723,0.732485201872957
cbojx0hc,samurai_disc-jockey,samurai,disc-jockey,0.6387689669632125,0.7793481596571121,0.0,0.96,77,25,0.9968626381121266,0.7333282363959556
vl0ds849,tsp_sam_dog,tsp_sam,dog,0.8864162897784595,0.9397330609133303,0.8552873897450809,0.0,20,25,0.9555027875283915,0.9652690863579474
74oo3fmq,samurai_dog,samurai,dog,0.9587100685376335,0.9789077510189638,0.0,0.0,9,25,0.9888672062446016,0.9730231679677663
2ul48ooh,tsp_sam_dog-agility,tsp_sam,dog-agility,0.7895168747893817,0.8801180456595676,0.0020590819240061497,0.043478260869565216,19,23,0.02126390018985625,0.021340301595078666
6yrzcb3y,samurai_dog-agility,samurai,dog-agility,0.9403302562012849,0.969194956184349,0.0,0.0,9,25,0.9377138062350739,0.955946701760158
c1ohfog8,tsp_sam_dog-gooses,tsp_sam,dog-gooses,0.6729759287239193,0.8036761924415488,0.8076117318435754,0.0,20,25,0.7223751474636256,0.7368632170076214
07xs8i87,samurai_dog-gooses,samurai,dog-gooses,0.6784266307370449,0.7995552917955727,0.0,0.72,8,25,0.9274767378215654,0.4730597431602457
6x4d49gj,tsp_sam_dogs-jump,tsp_sam,dogs-jump,0.7628897294553074,0.8647453002374657,0.8216967387649894,0.0,20,25,0.8768098159509202,0.7987927565392354
d8fs4vli,samurai_dogs-jump,samurai,dogs-jump,0.3165114439232599,0.46857283083100315,0.0,1.0,10,25,0.9756457564575646,0.2803307988246342
r1pvxe2i,tsp_sam_dogs-scale,tsp_sam,dogs-scale,0.5042228620068381,0.6674438759991373,0.7183711963607112,0.88,21,25,0.7211693678569122,0.5809870602770011
fs8b081h,samurai_dogs-scale,samurai,dogs-scale,0.4561489158577632,0.599146955648502,0.0,1.0,21,25,0.9949102129757758,0.3137842122160687
ve2g6w81,tsp_sam_drift-chicane,tsp_sam,drift-chicane,0.27491125911809977,0.4299888960961497,0.8766310794780545,0.12,20,25,0.4493814693259278,0.8464098906324299
phy93vn5,samurai_drift-chicane,samurai,drift-chicane,0.9107690542830205,0.9531351324093106,0.0,0.0,8,25,0.9337903100171366,0.9669301500241975
arbf9u2i,tsp_sam_drift-straight,tsp_sam,drift-straight,0.6424971272391652,0.7708203931216976,0.6256794553802312,0.04,20,25,0.8211884623725872,0.9120250496778467
t3en0wqi,samurai_drift-straight,samurai,drift-straight,0.9537587920685493,0.9762798042778794,0.0,0.0,9,25,0.9897795364612776,0.9951801750596795
31krhik1,tsp_sam_drift-turn,tsp_sam,drift-turn,0.6817069083792175,0.7997274151818624,0.5631441957313899,0.4,20,25,0.9251984393919009,0.7583811204234672
wj8k3g8a,samurai_drift-turn,samurai,drift-turn,0.9632181277077082,0.9812522273960144,0.0,0.0,8,25,0.9848980884993136,0.9769536978839305
fy6qpa64,tsp_sam_drone,tsp_sam,drone,0.32015101532475265,0.4761582759828454,0.05031766200762389,0.92,20,25,0.31062355658198615,0.3575090184165559
8rhyfh4z,samurai_drone,samurai,drone,0.68662077450498,0.8086570745521697,0.0,0.4,25,25,0.9666478491588574,0.8980636499045461
d24tqjj4,tsp_sam_elephant,tsp_sam,elephant,0.8042662416640145,0.8913879516656378,0.9373110580747812,0.0,20,25,0.8849926031450331,0.8978321289605337
yw45nzr4,samurai_elephant,samurai,elephant,0.9791683056936324,0.9894726279647363,0.0,0.0,10,25,0.9907287838151054,0.9844701082486099
8b9vp3e9,tsp_sam_flamingo,tsp_sam,flamingo,0.31892253067770837,0.4813751192439554,0.7695284506234772,1.0,20,25,0.5264782326185835,0.4964767156862745
7bhorhq0,samurai_flamingo,samurai,flamingo,0.9647437561031471,0.982050999983361,0.0,0.0,9,25,0.9742352512745812,0.9778407273724129
3wmqhwvl,tsp_sam_goat,tsp_sam,goat,0.8546060694038163,0.9215611276095192,0.8698377168438725,0.0,20,25,0.9282655246252677,0.9301466205745619
806z3gj8,samurai_goat,samurai,goat,0.9318498384801007,0.9647137127324575,0.0,0.0,9,25,0.9828457205160821,0.9514477711712346
x57i7y3u,tsp_sam_gold-fish,tsp_sam,gold-fish,0.7130232237405086,0.8319342762619119,0.8448942042318307,0.0,20,25,0.850709487658492,0.7939976257604986
54ebltvn,samurai_gold-fish,samurai,gold-fish,0.377784477025571,0.5482527031448852,0.0,1.0,10,25,0.9918959867517001,0.39517940367230053
6li1cm32,tsp_sam_hike,tsp_sam,hike,0.7621065932194934,0.8645961432906639,0.8615896041100031,0.0,20,25,0.8425235160557898,0.8562716334267348
659bx3ry,samurai_hike,samurai,hike,0.9450346767688282,0.9716790596428874,0.0,0.0,8,25,0.9826809490439483,0.9796407185628743
k66pdllh,tsp_sam_hockey,tsp_sam,hockey,0.5927187560227921,0.7419542832000982,0.6515608051102808,0.28,20,25,0.7987421383647799,0.794442828047716
320spxss,samurai_hockey,samurai,hockey,0.8956184021090634,0.944922143724812,0.0,0.0,8,25,0.9765777798979154,0.919057239057239
5aro4hd9,tsp_sam_horsejump-high,tsp_sam,horsejump-high,0.6620878283643628,0.7958514304711702,0.7062283215201327,0.0,20,25,0.7946428571428571,0.7800175284837861
xen4whg1,samurai_horsejump-high,samurai,horsejump-high,0.7682765591286923,0.8688935610309251,0.0,0.0,8,25,0.9686962065667836,0.8011600316372265
pctxfp8v,tsp_sam_horsejump-low,tsp_sam,horsejump-low,0.7165027010255204,0.8342288457563427,0.6453992493852724,0.12,20,25,0.7438054450902417,0.6760739607952175
u0elwbaf,samurai_horsejump-low,samurai,horsejump-low,0.7607297193249211,0.8639933731086612,0.0,0.0,8,25,0.9620357634112793,0.7210606622953524
t7odyg6x,tsp_sam_india,tsp_sam,india,0.7006822404736451,0.822526825747931,0.7604708004081536,0.32,20,25,0.7676745879750762,0.803364760345509
